id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
194,2,,7th Gen A6-9550 APU,7/27/2017,28,3800,4000,,1024,,65,AMD A6-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2086,Boxed Processor,90,2400,2086
195,2,,7th Gen A6-9500 APU,"Channel: 7/27/2017, OEM: 9/5/2016",28,3500,3800,,1024,,65,AMD A6-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2096,Boxed Processor,90,2400,2096
196,2,,7th Gen A6-9500E APU,"Channel: 7/27/2017, OEM: 9/5/2016",28,3000,3400,,1024,,35,AMD A6-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2091,Boxed Processor,90,2400,2091
197,4,,7th Gen A12-9730P APU,Q216,28,2800,3500,,2048,,35,AMD A12-Series APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6126,Laptop,90,2400,6126
198,4,,7th Gen A12-9700P APU,Q216,28,2500,3400,,2048,,15,AMD A12-Series APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6131,Laptop,90,1866,6131
199,4,,7th Gen A10-9630P APU,Q216,28,2600,3300,,2048,,35,AMD A10-Series APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6136,Laptop,90,2400,6136
200,4,,7th Gen A10-9600P APU,Q216,28,2400,3300,,2048,,15,AMD A10-Series APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6141,Laptop,90,1866,6141
201,2,,7th Gen A9-9425 APU,2Q18,28,3100,3700,,1024,,15,AMD A9-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/8226,Laptop,90,2133,8226
202,2,,7th Gen A9-9420 APU,Q217,28,3000,3600,,1024,,15,AMD A9-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2126,Laptop,90,2133,2126
203,2,,7th Gen A9-9410 APU,Q216,28,2900,3500,,1024,,10,AMD A9-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2051,Laptop,90,2133,2051
204,2,,7th Gen A6-9225 APU,2Q18,28,2600,3100,,1024,,15,AMD A6-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/8231,Laptop,90,2133,8231
205,2,,7th Gen A6-9220 APU,Q217,28,2500,2900,,1024,,15,AMD A6-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2131,Laptop,90,2133,2131
206,2,2,7th Gen A6-9220C APU,,28,1800,2700,160,1024,,6,AMD A6-Series APU for Laptops,FT4,,https://www.amd.com/en/product/8361,Laptop,90,1866,8361
207,2,,7th Gen A6-9210 APU,Q216,28,2400,2800,,1024,,15,AMD A6-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2056,Laptop,90,2133,2056
208,2,,7th Gen A4-9125 APU,2Q18,28,2300,2600,,1024,,15,AMD A4-Series APU for Laptops,,,https://www.amd.com/en/product/8396,Laptop,90,2133,8396
209,2,,7th Gen A4-9120 APU,Q217,28,2200,2500,,1024,,15,AMD A4-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2136,Laptop,90,2133,2136
210,2,2,7th Gen A4-9120C APU,,28,1600,2400,160,1024,,6,AMD A4-Series APU for Laptops,FT4,,https://www.amd.com/en/product/8366,Laptop,90,1866,8366
211,4,,7th Gen AMD PRO A12-9800 APU,10/03/2016,28,3800,4200,,2048,,65,AMD PRO A-Series A12 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6171,Desktop,90,2400,6171
212,4,,7th Gen AMD PRO A12-9800E APU,10/03/2016,28,3100,3800,,2048,,35,AMD PRO A-Series A12 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6176,Desktop,90,2400,6176
213,4,,7th Gen AMD PRO A10-9700 APU,10/03/2016,28,3500,3800,,2048,,65,AMD PRO A-Series A10 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6161,Desktop,90,2400,6161
214,4,,7th Gen AMD PRO A10-9700E APU,10/03/2016,28,3000,3500,,2048,,35,AMD PRO A-Series A10 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6166,Desktop,90,2400,6166
215,4,,7th Gen AMD PRO A8-9600 APU,10/03/2016,28,3100,3400,,2048,,65,AMD PRO A-Series A8 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6191,Desktop,90,2400,6191
216,2,,7th Gen AMD PRO A6-9500 APU,10/03/2016,28,3500,3800,,1024,,65,AMD PRO A-Series A6 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6181,Desktop,90,2400,6181
217,2,,7th Gen AMD PRO A6-9500E APU,10/03/2016,28,3000,3400,,1024,,35,AMD PRO A-Series A6 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6186,Desktop,90,2400,6186
218,4,,7th Gen AMD PRO A12-9830B APU,10/24/2016,28,3000,3700,,2048,,35,AMD PRO A-Series A12 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6196,Laptop,90,2400,6196
219,4,,7th Gen AMD PRO A12-9800B APU,10/24/2016,28,2700,3600,,2048,,15,AMD PRO A-Series A12 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6201,Laptop,90,1866,6201
220,4,,7th Gen AMD PRO A10-9730B APU,10/24/2016,28,2800,3500,,2048,,35,AMD PRO A-Series A10 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6206,Laptop,90,2400,6206
221,4,,7th Gen AMD PRO A10-9700B APU,10/24/2016,28,2500,3400,,2048,,15,AMD PRO A-Series A10 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6211,Laptop,90,1866,6211
222,4,,7th Gen AMD PRO A8-9630B,10/24/2016,28,2600,3300,,2048,,35,AMD PRO A-Series A8 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6216,Laptop,90,2400,6216
223,4,,7th Gen AMD PRO A8-9600B APU,10/24/2016,28,2400,3300,,2048,,15,AMD PRO A-Series A8 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6221,Laptop,90,1866,6221
224,2,,7th Gen AMD PRO A6-9500B APU,10/24/2016,28,2300,3200,,1024,,15,AMD PRO A-Series A6 APU for Laptops,FP4,DDR4,https://www.amd.com/en/product/6226,Laptop,90,1866,6226
